2020-03-24 08:56:33.345 [http-nio-8080-exec-5] INFO  com.jl.asspect.LogAspect - --------------------doAfter-----------------
2020-03-24 08:56:33.345 [http-nio-8080-exec-5] INFO  com.jl.asspect.LogAspect - Result : _fragments :: newblogList
2020-03-24 08:56:36.318 [http-nio-8080-exec-1] INFO  com.jl.asspect.LogAspect - Request :RequestLog{url='http://localhost:8080/', ip='0:0:0:0:0:0:0:1', classMethod='com.jl.web.IndexController.index', args=[Page request [number: 0, size 7, sort: updateTime: DESC], {}]}
2020-03-24 08:56:36.924 [http-nio-8080-exec-1] INFO  com.jl.asspect.LogAspect - --------------------doAfter-----------------
2020-03-24 08:56:36.924 [http-nio-8080-exec-1] INFO  com.jl.asspect.LogAspect - Result : index
2020-03-24 08:56:37.854 [http-nio-8080-exec-4] INFO  com.jl.asspect.LogAspect - Request :RequestLog{url='http://localhost:8080/footer/newblog', ip='0:0:0:0:0:0:0:1', classMethod='com.jl.web.IndexController.newblogs', args=[{}]}
2020-03-24 08:56:38.016 [http-nio-8080-exec-4] INFO  com.jl.asspect.LogAspect - --------------------doAfter-----------------
2020-03-24 08:56:38.016 [http-nio-8080-exec-4] INFO  com.jl.asspect.LogAspect - Result : _fragments :: newblogList
2020-03-24 08:56:55.173 [http-nio-8080-exec-9] INFO  com.jl.asspect.LogAspect - Request :RequestLog{url='http://localhost:8080/', ip='0:0:0:0:0:0:0:1', classMethod='com.jl.web.IndexController.index', args=[Page request [number: 0, size 7, sort: updateTime: DESC], {}]}
2020-03-24 08:56:55.928 [http-nio-8080-exec-9] INFO  com.jl.asspect.LogAspect - --------------------doAfter-----------------
2020-03-24 08:56:55.928 [http-nio-8080-exec-9] INFO  com.jl.asspect.LogAspect - Result : index
2020-03-24 08:56:56.953 [http-nio-8080-exec-7] INFO  com.jl.asspect.LogAspect - Request :RequestLog{url='http://localhost:8080/footer/newblog', ip='0:0:0:0:0:0:0:1', classMethod='com.jl.web.IndexController.newblogs', args=[{}]}
2020-03-24 08:56:57.168 [http-nio-8080-exec-7] INFO  com.jl.asspect.LogAspect - --------------------doAfter-----------------
2020-03-24 08:56:57.169 [http-nio-8080-exec-7] INFO  com.jl.asspect.LogAspect - Result : _fragments :: newblogList
2020-03-24 08:57:00.334 [http-nio-8080-exec-4] INFO  com.jl.asspect.LogAspect - Request :RequestLog{url='http://localhost:8080/types/-1', ip='0:0:0:0:0:0:0:1', classMethod='com.jl.web.TypeShowController.types', args=[Page request [number: 0, size 8, sort: updateTime: DESC], -1, {}]}
2020-03-24 08:57:00.603 [http-nio-8080-exec-4] INFO  com.jl.asspect.LogAspect - --------------------doAfter-----------------
2020-03-24 08:57:00.603 [http-nio-8080-exec-4] INFO  com.jl.asspect.LogAspect - Result : types
2020-03-24 08:57:01.839 [http-nio-8080-exec-9] INFO  com.jl.asspect.LogAspect - Request :RequestLog{url='http://localhost:8080/footer/newblog', ip='0:0:0:0:0:0:0:1', classMethod='com.jl.web.IndexController.newblogs', args=[{}]}
